,lower,upper,mean,wave,age.group,contact.age.group,text_color,row_num,col_num
222,3.258144062,3.282981047,3.270423884,Wave 33,"[17,70)",70+,up,7,1
223,0.787493718,0.799866432,0.793648666,Wave 33,70+,"[0,17)",low,7,1
224,3.2583328,3.283622078,3.270706757,Wave 33,70+,"[17,70)",up,7,1
225,4.077502323,4.127561658,4.102847385,Wave 33,70+,70+,up,7,1
226,6.010794343,6.04640538,6.02815684,Wave 34,"[0,17)","[0,17)",up,7,2
227,4.887575402,4.910475407,4.899006366,Wave 34,"[0,17)","[17,70)",up,7,2
228,0.725957828,0.737052596,0.73150871,Wave 34,"[0,17)",70+,low,7,2
229,4.887827251,4.90948053,4.898487626,Wave 34,"[17,70)","[0,17)",up,7,2
230,6.573899158,6.597889391,6.585860532,Wave 34,"[17,70)","[17,70)",up,7,2
231,3.062257509,3.082430163,3.072429613,Wave 34,"[17,70)",70+,up,7,2
232,0.725971777,0.736799752,0.731338564,Wave 34,70+,"[0,17)",low,7,2
233,3.06256825,3.082037135,3.07225121,Wave 34,70+,"[17,70)",up,7,2
234,4.070547864,4.118550294,4.094450194,Wave 34,70+,70+,up,7,2
235,5.709661184,5.749512419,5.729580142,Wave 35,"[0,17)","[0,17)",up,7,3
236,4.494642856,4.518211712,4.506511047,Wave 35,"[0,17)","[17,70)",up,7,3
237,0.717671335,0.728072917,0.722917612,Wave 35,"[0,17)",70+,low,7,3
238,4.494327987,4.517851724,4.506259945,Wave 35,"[17,70)","[0,17)",up,7,3
239,6.57591385,6.601699678,6.588534857,Wave 35,"[17,70)","[17,70)",up,7,3
240,3.058463528,3.081606573,3.069694092,Wave 35,"[17,70)",70+,up,7,3
241,0.717882093,0.728270092,0.723052763,Wave 35,70+,"[0,17)",low,7,3
242,3.058990532,3.081504578,3.069895799,Wave 35,70+,"[17,70)",up,7,3
243,4.094250682,4.140321558,4.117899149,Wave 35,70+,70+,up,7,3
244,5.806893642,5.84900756,5.827479923,Wave 36,"[0,17)","[0,17)",up,7,4
245,4.491535217,4.515299773,4.503654224,Wave 36,"[0,17)","[17,70)",up,7,4
246,0.559696317,0.568716549,0.564162792,Wave 36,"[0,17)",70+,low,7,4
247,4.492052449,4.516151173,4.504408233,Wave 36,"[17,70)","[0,17)",up,7,4
248,6.403576877,6.431070374,6.41673846,Wave 36,"[17,70)","[17,70)",up,7,4
249,2.871356472,2.89622396,2.883613026,Wave 36,"[17,70)",70+,up,7,4
250,0.559061513,0.569026364,0.56413494,Wave 36,70+,"[0,17)",low,7,4
251,2.871527112,2.894844972,2.883504422,Wave 36,70+,"[17,70)",up,7,4
252,3.992920736,4.044574698,4.019071461,Wave 36,70+,70+,up,7,4
253,5.217701065,5.266132983,5.243025601,Wave 37,"[0,17)","[0,17)",up,8,1
254,4.42850932,4.457350269,4.442810351,Wave 37,"[0,17)","[17,70)",up,8,1
255,0.561046836,0.572148719,0.566650624,Wave 37,"[0,17)",70+,low,8,1
256,4.427513963,4.456474478,4.442423596,Wave 37,"[17,70)","[0,17)",up,8,1
257,6.031529626,6.06082046,6.046180923,Wave 37,"[17,70)","[17,70)",up,8,1
258,2.618984647,2.641571974,2.629886298,Wave 37,"[17,70)",70+,up,8,1
259,0.561021342,0.572300301,0.566704743,Wave 37,70+,"[0,17)",low,8,1
260,2.619401872,2.642433421,2.630564145,Wave 37,70+,"[17,70)",up,8,1
